start_mono_ns,end_mono_ns,duration_ms,preceding_lifecycle_kind,following_lifecycle_kind
317375458378091,317375460328944,1.950853,client_processing,get_state_start
317376421611831,317376423540824,1.928993,client_processing,get_state_start
317419049681779,317419051597742,1.915963,client_processing,client_processing_start
317437542976043,317437544882335,1.906292,client_processing,get_state_start
317416069833144,317416071737486,1.904342,client_processing,get_state_start
317365948154370,317365950054423,1.900053,unknown_residual,client_processing_start
317445110724973,317445112619856,1.894883,client_processing,client_processing_start
317431822012819,317431823903161,1.890342,client_processing,client_processing_start
317364378443410,317364380330382,1.886972,client_processing,get_state_start
317450392278382,317450394159844,1.881462,get_state,client_processing_start
317364173702546,317364175576509,1.873963,unknown_residual,client_processing_start
317444718376139,317444720239211,1.863072,unknown_residual,client_processing_start
317459789008036,317459790835929,1.827893,client_processing,get_state_start
317361706101960,317361707922693,1.820733,client_processing,get_state_start
317374085831245,317374087636517,1.805272,unknown_residual,client_processing_start
317360959855490,317360961656592,1.801102,get_state,client_processing_start
317467157349100,317467159129913,1.780813,client_processing,get_state_start
317363481829376,317363483606238,1.776862,client_processing,get_state_start
317381152200160,317381153968242,1.768082,client_processing,get_state_start
317418842380532,317418844145315,1.764783,client_processing,get_state_start
317453058377543,317453060045395,1.667852,client_processing,get_state_start
317444896561028,317444898220150,1.659122,client_processing,get_state_start
317431609999096,317431611658209,1.659113,client_processing,get_state_start
317360792630365,317360794238317,1.607952,client_processing,get_state_start
317471448205273,317471449801625,1.596352,client_processing,get_state_start
317362580540006,317362582122248,1.582242,client_processing,get_state_start
317410698888600,317410700469783,1.581183,client_processing,get_state_start
317447526304103,317447527773294,1.469191,client_processing,get_state_start
317373339726184,317373341038646,1.312462,client_processing,get_state_start
