coarse_coverage_proportion,delta_percentage_points,fold,hybrid_coverage_proportion,metric,n_clusters,n_events,original_class,scope
0.9296013570822731,1.2722646310432628,3,0.9423240033927057,event_weighted_coverage,115,1179,read,original_class
0.934672585868238,0.954210041166581,3,0.9442146862799038,instance_weighted_coverage,115,1179,read,original_class
0.7130434782608696,3.4782608695652195,3,0.7478260869565218,strict_all_events_gate,115,1179,read,original_class
0.8445839874411303,1.883830455259028,3,0.8634222919937206,event_weighted_coverage,108,637,search,original_class
0.9208754208754207,2.8538359788359724,3,0.9494137806637805,instance_weighted_coverage,108,637,search,original_class
0.7777777777777778,6.481481481481477,3,0.8425925925925926,strict_all_events_gate,108,637,search,original_class
0.28608923884514437,0.0,3,0.28608923884514437,event_weighted_coverage,114,1143,shell,original_class
0.32637494797682703,0.0,3,0.32637494797682703,instance_weighted_coverage,114,1143,shell,original_class
0.017543859649122806,0.0,3,0.017543859649122806,strict_all_events_gate,114,1143,shell,original_class
0.06918238993710692,0.0,3,0.06918238993710692,event_weighted_coverage,68,318,test,original_class
0.0625891265597148,0.0,3,0.0625891265597148,instance_weighted_coverage,68,318,test,original_class
0.0,0.0,3,0.0,strict_all_events_gate,68,318,test,original_class
0.5167682926829268,0.0,3,0.5167682926829268,event_weighted_coverage,119,656,traversal,original_class
0.512387294821086,0.0,3,0.512387294821086,instance_weighted_coverage,119,656,traversal,original_class
0.12605042016806722,0.0,3,0.12605042016806722,strict_all_events_gate,119,656,traversal,original_class
0.8787375415282392,0.0,3,0.8787375415282392,event_weighted_coverage,110,602,write,original_class
0.8804816017316017,0.0,3,0.8804816017316017,instance_weighted_coverage,110,602,write,original_class
0.7181818181818181,0.0,3,0.7181818181818181,strict_all_events_gate,110,602,write,original_class
0.7100439882697948,0.1832844574780057,4,0.7118768328445748,event_weighted_coverage,113,5456,,all
0.7044763731560296,0.22011920623640213,4,0.7066775652183936,instance_weighted_coverage,113,5456,,all
0.0,0.0,4,0.0,strict_all_events_gate,113,5456,,all
0.8903394255874674,0.7832898172323799,4,0.8981723237597912,event_weighted_coverage,98,383,patch,original_class
0.8959700868764495,1.1281179138321829,4,0.9072512660147714,instance_weighted_coverage,98,383,patch,original_class
0.7857142857142857,0.0,4,0.7857142857142857,strict_all_events_gate,98,383,patch,original_class
0.9563711911357341,0.484764542936289,4,0.961218836565097,event_weighted_coverage,112,1444,read,original_class
0.9394385621644046,0.5338183990973633,4,0.9447767461553782,instance_weighted_coverage,112,1444,read,original_class
0.7142857142857143,4.46428571428571,4,0.7589285714285714,strict_all_events_gate,112,1444,read,original_class
0.8972332015810277,0.0,4,0.8972332015810277,event_weighted_coverage,101,759,search,original_class
0.8662091086519571,0.0,4,0.8662091086519571,instance_weighted_coverage,101,759,search,original_class
0.7029702970297029,0.0,4,0.7029702970297029,strict_all_events_gate,101,759,search,original_class
0.36380090497737555,0.0,4,0.36380090497737555,event_weighted_coverage,111,1105,shell,original_class
0.3540605310745905,0.0,4,0.3540605310745905,instance_weighted_coverage,111,1105,shell,original_class
0.018018018018018018,0.0,4,0.018018018018018018,strict_all_events_gate,111,1105,shell,original_class
0.056856187290969896,0.0,4,0.056856187290969896,event_weighted_coverage,65,299,test,original_class
0.06769596416655241,0.0,4,0.06769596416655241,instance_weighted_coverage,65,299,test,original_class
0.0,0.0,4,0.0,strict_all_events_gate,65,299,test,original_class
0.5766331658291457,0.0,4,0.5766331658291457,event_weighted_coverage,113,796,traversal,original_class
0.5864183964211186,0.0,4,0.5864183964211186,instance_weighted_coverage,113,796,traversal,original_class
0.22123893805309736,0.0,4,0.22123893805309736,strict_all_events_gate,113,796,traversal,original_class
0.8850746268656716,0.0,4,0.8850746268656716,event_weighted_coverage,108,670,write,original_class
0.903601810861286,0.0,4,0.903601810861286,instance_weighted_coverage,108,670,write,original_class
0.6851851851851852,0.0,4,0.6851851851851852,strict_all_events_gate,108,670,write,original_class
