fold,event_id,instance_id,original_class,observed_ms,plain_prediction_ms,stratified_prediction_ms
0,assignment-case-v1:1c5e3fc85a6bca3a0f7b39f001b3513d732efc4f30964e1fb2f4c7f6371263e5-tool-0028,django__django-11797,read,218.67533800104866,192.1172669972293,194.4453394935408
0,assignment-case-v1:1c5e3fc85a6bca3a0f7b39f001b3513d732efc4f30964e1fb2f4c7f6371263e5-tool-0029,django__django-11797,search,121.59868799790274,120.3497975038772,120.41823800245766
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0000,django__django-14373,traversal,220.0575579990982,215.0155929957691,218.4344679917558
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0001,django__django-14373,traversal,232.42483799549518,215.0155929957691,218.4344679917558
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0002,django__django-14373,traversal,180.50056799984304,215.0155929957691,194.4453394935408
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0003,django__django-14373,traversal,176.71859900292475,215.0155929957691,194.4453394935408
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0004,django__django-14373,read,174.47842799447244,192.1172669972293,194.4453394935408
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0005,django__django-14373,traversal,6399.433717997454,215.0155929957691,4306.388529992546
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0006,django__django-14373,read,168.5541379993083,192.1172669972293,194.4453394935408
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0007,django__django-14373,write,178.97025900310837,210.17419599957066,210.19215800333768
